Bandung,Makassar,DKI Jakarta,Medan,Surabaya,Pekanbaru,Batam,Palembang,Yogyakarta,Balikpapan
62950.0,55950.0,64650.0,50550.0,56700.0,53900.0,89850.0,66500.0,67550.0,66650.0
87200.0,54600.0,123100.0,41200.0,94100.0,90200.0,90200.0,78600.0,102700.0,82900.0
,,,,,,,,,
,,,,,,,,,
87200.0,54600.0,123100.0,41200.0,94100.0,90200.0,90200.0,78600.0,102700.0,82900.0
87200.0,54600.0,123100.0,41200.0,94100.0,90200.0,90200.0,78600.0,102700.0,82900.0
88050.0,48600.0,123100.0,39950.0,92900.0,90200.0,89650.0,78600.0,107700.0,82900.0
88050.0,48600.0,123100.0,39950.0,92900.0,90200.0,89650.0,78600.0,107700.0,82900.0
88050.0,48600.0,123100.0,39950.0,92900.0,90200.0,89650.0,78600.0,107700.0,82900.0
,,,,,,,,,
,,,,,,,,,
88050.0,48600.0,123100.0,39950.0,92900.0,90200.0,89650.0,78600.0,107700.0,82900.0
88050.0,48600.0,123100.0,39950.0,92900.0,90200.0,89650.0,78600.0,107700.0,82900.0
,,,,,,,,,
77800.0,47600.0,123100.0,34550.0,91900.0,95700.0,82800.0,78600.0,107700.0,82900.0
77800.0,47600.0,123100.0,34550.0,91900.0,95700.0,82800.0,78600.0,107700.0,82900.0
,,,,,,,,,
,,,,,,,,,
77800.0,47600.0,123100.0,34550.0,91900.0,95700.0,82800.0,78600.0,107700.0,82900.0
77800.0,47600.0,123100.0,34550.0,91900.0,95700.0,82800.0,78600.0,107700.0,82900.0
,,,,,,,,,
93500.0,47300.0,75400.0,44300.0,88700.0,56000.0,111450.0,73150.0,89650.0,77600.0
87350.0,55100.0,116950.0,45500.0,94150.0,85750.0,96050.0,78600.0,98800.0,82900.0
,,,,,,,,,
79300.0,46200.0,113250.0,33600.0,96250.0,66050.0,77900.0,77450.0,105700.0,78050.0
71050.0,37250.0,69550.0,36050.0,46200.0,41400.0,73850.0,28500.0,51200.0,77550.0
,,,,,,,,,
43050.0,23600.0,56900.0,39250.0,42450.0,60500.0,71550.0,28550.0,53050.0,71050.0
42600.0,37350.0,54650.0,38000.0,44100.0,34550.0,72700.0,54100.0,40550.0,60650.0
,,,,,,,,,
61550.0,52200.0,63400.0,41600.0,50450.0,51400.0,91300.0,65350.0,64050.0,64550.0
62950.0,55950.0,64650.0,50550.0,56700.0,53900.0,89850.0,66500.0,67550.0,66650.0
74900.0,46000.0,118200.0,33600.0,88750.0,95700.0,77900.0,69850.0,105700.0,78050.0
74900.0,46000.0,118200.0,33600.0,88750.0,95700.0,77900.0,69850.0,105700.0,78050.0
79300.0,46000.0,121950.0,33600.0,86400.0,98000.0,77900.0,68450.0,105700.0,78050.0
79300.0,46000.0,121950.0,33600.0,86400.0,66050.0,77900.0,68450.0,105700.0,78050.0
79300.0,46000.0,121950.0,33600.0,86400.0,66050.0,77900.0,68450.0,105700.0,78050.0
,,,,,,,,,
,,,,,,,,,
79300.0,46000.0,121950.0,33600.0,86400.0,66050.0,77900.0,68450.0,105700.0,78050.0
79300.0,46000.0,121950.0,33600.0,86400.0,66050.0,77900.0,68450.0,105700.0,78050.0
79300.0,46200.0,113250.0,33600.0,96250.0,98000.0,77900.0,77450.0,105700.0,78050.0
79300.0,46200.0,113250.0,33600.0,96250.0,66050.0,77900.0,77450.0,105700.0,78050.0
79300.0,46200.0,113250.0,33600.0,96250.0,66050.0,77900.0,77450.0,105700.0,78050.0
,,,,,,,,,
,,,,,,,,,
79300.0,46200.0,113250.0,33600.0,96250.0,66050.0,77900.0,77450.0,105700.0,78050.0
79300.0,46200.0,113250.0,33600.0,96250.0,66050.0,77900.0,77450.0,105700.0,78050.0
79300.0,46200.0,113250.0,33600.0,96250.0,98000.0,77900.0,77450.0,105700.0,78050.0
79300.0,46200.0,113250.0,33600.0,96250.0,66050.0,77900.0,77450.0,105700.0,78050.0
,,,,,,,,,
90800.0,42800.0,109550.0,45500.0,91750.0,56000.0,98950.0,77200.0,89650.0,82900.0
87350.0,55100.0,116950.0,45500.0,94150.0,85750.0,96050.0,78600.0,98800.0,82900.0
,,,,,,,,,
79300.0,46200.0,113250.0,33600.0,96250.0,66050.0,77900.0,77450.0,105700.0,78050.0
71050.0,37250.0,69550.0,36050.0,46200.0,41400.0,73850.0,28500.0,51200.0,77550.0
,,,,,,,,,
47200.0,36750.0,49050.0,43350.0,42450.0,60500.0,72300.0,56950.0,49650.0,71050.0
,,,,,,,,,
45950.0,40700.0,54550.0,44350.0,40850.0,36300.0,70650.0,57750.0,45300.0,66300.0
61550.0,52200.0,63400.0,41600.0,50450.0,51400.0,91300.0,65350.0,64050.0,64550.0
,,,,,,,,,
71050.0,43250.0,109150.0,34750.0,55700.0,65050.0,77550.0,62500.0,101050.0,77550.0
71050.0,43250.0,109150.0,34750.0,55700.0,65050.0,77550.0,62500.0,101050.0,77550.0
71050.0,43250.0,109150.0,34750.0,55700.0,65050.0,77550.0,62500.0,101050.0,77550.0
,,,,,,,,,
,,,,,,,,,
71050.0,43250.0,109150.0,34750.0,55700.0,65050.0,77550.0,62500.0,101050.0,77550.0
71050.0,43250.0,109150.0,34750.0,55700.0,65050.0,77550.0,62500.0,101050.0,77550.0
71050.0,42350.0,81900.0,34750.0,54450.0,66400.0,77550.0,62500.0,55550.0,77550.0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
71050.0,41500.0,69550.0,36050.0,46200.0,65650.0,73250.0,25500.0,51200.0,77550.0
71050.0,41500.0,69550.0,36050.0,46200.0,65650.0,73250.0,25500.0,51200.0,77550.0
,,,,,,,,,
