,balikpapan,bandung,batam,jakarta,makassar,medan,palembang,pekanbaru,surabaya,yogyakarta
2018-03-13,57900.0,60150.0,67800.0,81450.0,39200.0,51450.0,69000.0,86650.0,71450.0,68600.0
2018-03-14,57900.0,60750.0,70700.0,77450.0,38450.0,51450.0,69000.0,67150.0,67550.0,72650.0
2018-03-15,57900.0,60750.0,70700.0,77450.0,38450.0,51450.0,69000.0,67150.0,67550.0,72650.0
2018-03-16,57900.0,60750.0,70700.0,77450.0,38450.0,51450.0,69000.0,67150.0,67550.0,72650.0
2018-03-17,,,,,,,,,,
2018-03-18,,,,,,,,,,
2018-03-19,57900.0,60750.0,70700.0,77450.0,38450.0,51450.0,69000.0,67150.0,67550.0,72650.0
2018-03-20,57900.0,60750.0,70700.0,77450.0,38450.0,51450.0,69000.0,67150.0,67550.0,72650.0
2018-03-21,57900.0,65900.0,73800.0,81700.0,46850.0,51000.0,69000.0,67150.0,66950.0,72650.0
2018-03-22,57900.0,65900.0,73800.0,81700.0,46850.0,51000.0,69000.0,67150.0,66950.0,72650.0
2018-03-23,57900.0,65900.0,73800.0,81700.0,46850.0,51000.0,69000.0,67150.0,66950.0,72650.0
2018-03-24,,,,,,,,,,
2018-03-25,,,,,,,,,,
2018-03-26,57900.0,65900.0,73800.0,81700.0,46850.0,51000.0,69000.0,67150.0,66950.0,72650.0
2018-03-27,57900.0,65900.0,73800.0,81700.0,46850.0,51000.0,69000.0,67150.0,66950.0,72650.0
2018-03-28,57900.0,65900.0,73300.0,92250.0,47850.0,51000.0,69000.0,86150.0,58550.0,72650.0
2018-03-29,57900.0,65900.0,73300.0,92250.0,47850.0,51000.0,69000.0,86150.0,58550.0,72650.0
2018-03-30,,,,,,,,,,
2018-03-31,,,,,,,,,,
2018-04-01,,,,,,,,,,
2018-04-02,57900.0,65900.0,73300.0,92250.0,47850.0,51000.0,69000.0,86150.0,58550.0,72650.0
2018-04-03,57900.0,65900.0,73300.0,92250.0,47850.0,51000.0,69000.0,86150.0,58550.0,72650.0
2018-04-04,60150.0,68400.0,74700.0,89950.0,48800.0,51000.0,71250.0,86150.0,65800.0,72650.0
2018-04-05,60150.0,68400.0,74700.0,89950.0,48800.0,51000.0,71250.0,86150.0,65800.0,72650.0
2018-04-06,60150.0,68400.0,74700.0,89950.0,48800.0,51000.0,71250.0,86150.0,65800.0,72650.0
2018-04-07,,,,,,,,,,
2018-04-08,,,,,,,,,,
2018-04-09,60150.0,68400.0,74700.0,89950.0,48800.0,51000.0,71250.0,86150.0,65800.0,72650.0
2018-04-10,60150.0,68400.0,74700.0,89950.0,48800.0,51000.0,71250.0,86150.0,65800.0,72650.0
2018-04-11,60900.0,67550.0,74700.0,80450.0,49300.0,51000.0,72200.0,86150.0,65800.0,74750.0
2018-04-12,60900.0,67550.0,74700.0,80450.0,49300.0,51000.0,72200.0,86150.0,65800.0,74750.0
